"#","Reference","Qty","Value","Footprint","DNP","MPN","Vendor","Vendor#"
"1","C1, C4, C5, C6, C8, C9, C10, C58","8","100nF","Capacitor_SMD:C_0402_1005Metric","","CL05A104KA5NNNC ","LCSC","C100072"
"2","C2","1","47uF","Capacitor_SMD:C_0603_1608Metric","","GRM188R60J476ME15D","LCSC","C140782"
"3","C3","1","10uF","Capacitor_SMD:C_0603_1608Metric","","GRM188R6YA106MA73D","LCSC","C194427"
"4","C7, C14, C17, C20","4","1nF","Capacitor_SMD:C_0402_1005Metric","","CC0402MRX7R9BB102","LCSC","C527029"
"5","C11","1","1uF","Capacitor_SMD:C_0402_1005Metric","","GCM155C71A105KE38D","LCSC","C126521"
"6","C12, C15, C18","3","10nF","Capacitor_SMD:C_0402_1005Metric","","CL05B103KB5NNNC","LCSC","C15195"
"7","C13, C16, C19","3","4.7nF","Capacitor_SMD:C_0402_1005Metric","","GRM155R72A472KA01D","LCSC","C415704"
"8","C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57","37","22uF","O32controller:C_0805_nosilk","","CL21A226MAQNNNE","LCSC","C45783"
"9","D1, D4, D5","3","SDM2U30CSP","O32controller:SDM2U30CSP-7","","SDM2U30CSP-7","LCSC","C3001723"
"10","D2","1","ESDA17P20-1F2","O32controller:SMT2_0P91X0P63_STM-L","","ESDA17P20-1F2","LCSC","C3713569"
"11","D3","1","GREEN","LED_SMD:LED_0603_1608Metric","","LTST-C191KGKT","LCSC","C125098"
"12","D6","1","RED","LED_SMD:LED_0603_1608Metric","","LTST-C191KRKT","LCSC","C125099"
"13","J6","1","SWD","O32controller:JST_SM04B-SRSS-TB(LF)(SN)","","SM04B-SRSS-TB(LF)(SN)","LCSC","C160404"
"14","J8, J9","2","RS485","O32controller:JST_SM02B-SRSS-TB(LF)(SN)","","SM02B-SRSS-TB_LF__SN_","LCSC","C160402"
"15","L1","1","22uH","O32controller:IND_VLS201612CX-220M-1","","VLS201612CX-220M-1 ","LCSC","C2044426"
"16","Q1, Q2, Q3","3","CSD88584Q5DC","O32controller:CSD88584Q5DCT","","CSD88584Q5DC","Digikey","296-48904-1-ND"
"17","R1, R2, R7","3","1k","Resistor_SMD:R_0402_1005Metric","","RC0402FR-071KL","LCSC","C106235"
"18","R3, R5, R6","3","2.2k","Resistor_SMD:R_0402_1005Metric","","RC0402FR-072K2L","LCSC","C114762"
"19","R4","1","121k","Resistor_SMD:R_0402_1005Metric","","AF0402FR-07121KL","LCSC","C4153138"
"20","R8","1","54.9k","Resistor_SMD:R_0402_1005Metric","","RC0402FR-0754K9L","LCSC","C137959"
"21","R9, R10, R19, R28, R37","5","13.7k","Resistor_SMD:R_0402_1005Metric","","RC0402FR-0713K7L ","LCSC","C274888"
"22","R11, R13, R20, R22, R29, R31","6","10R","Resistor_SMD:R_0402_1005Metric","","SR0402FR-7T10RL","LCSC","C854481"
"23","R12, R21, R30","3","2.2R","Resistor_SMD:R_0402_1005Metric","","CRCW04022R20JNEDHP","LCSC","C2079158"
"24","R14, R16, R23, R25, R32, R34","6","27.4k","Resistor_SMD:R_0402_1005Metric","","RC0402FR-0727K4L ","LCSC","C273730"
"25","R15, R17, R24, R26, R33, R35","6","1.78k","Resistor_SMD:R_0402_1005Metric","","RC0402FR-071K78L ","LCSC","C185450"
"26","R18, R27, R36","3","PU2512FKMP50R002L","O32controller:R_Shunt_2512_6332Metric","","PU2512FKMP50R002L","LCSC","C2090861"
"27","U1","1","STSPIN32F0ATR","O32controller:VFQFPN-48-1EP_7x7mm_P0.5mm_EP2.8x2.8mm","","STSPIN32F0ATR","LCSC","C2651733"
"28","U2","1","THVD1420DRLR","O32controller:THVD1420DRLR_SOT-585","","THVD1420DRLR","Digikey","296-THVD1420DRLRCT-ND"
"29","U3","1","MA702GQ-P","O32controller:MA702GQ-P","","MA702GQ-P","MPS","MA702GQ"
